Evidence	ProteinId	AnnotationType	Value	Start	End
UR000345849	KAF7789097.1	comment.catalytic_activity	Reaction=1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine + S-adenosyl-L-methionine = a 1,2-diacyl-sn-glycero-3-phosphocholine + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:32739, ChEBI:CHEBI:15378, ChEBI:CHEBI:57643, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:64572;		
UR000345849	KAF7789097.1	comment.catalytic_activity	Reaction=1,2-diacyl-sn-glycero-3-phospho-N-methylethanolamine + S-adenosyl-L-methionine = 1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:32735, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:64572, ChEBI:CHEBI:64573; EC=2.1.1.71;		
UR000345849	KAF7789097.1	comment.function	Catalyzes the second two steps of the methylation pathway of phosphatidylcholine biosynthesis, the SAM-dependent methylation of phosphatidylmonomethylethanolamine (PMME) to phosphatidyldimethylethanolamine (PDME) and of PDME to phosphatidylcholine (PC)		
UR000345849	KAF7789097.1	comment.pathway	Phospholipid metabolism; phosphatidylcholine biosynthesis		
UR000345849	KAF7789097.1	comment.similarity	Belongs to the class VI-like SAM-binding methyltransferase superfamily. PEMT/PEM2 methyltransferase family		
UR000345849	KAF7789097.1	comment.subcellular_location	Endoplasmic reticulum membrane; Multi-pass membrane protein. Mitochondrion membrane; Multi-pass membrane protein		
UR000345849	KAF7789097.1	keyword	Endoplasmic reticulum		
UR000345849	KAF7789097.1	keyword	Lipid biosynthesis		
UR000345849	KAF7789097.1	keyword	Lipid metabolism		
UR000345849	KAF7789097.1	keyword	Membrane		
UR000345849	KAF7789097.1	keyword	Methyltransferase		
UR000345849	KAF7789097.1	keyword	Mitochondrion		
UR000345849	KAF7789097.1	keyword	Phospholipid biosynthesis		
UR000345849	KAF7789097.1	keyword	Phospholipid metabolism		
UR000345849	KAF7789097.1	keyword	S-adenosyl-L-methionine		
UR000345849	KAF7789097.1	keyword	Transferase		
UR000345849	KAF7789097.1	keyword	Transmembrane		
UR000345849	KAF7789097.1	keyword	Transmembrane helix		
UR000345849	KAF7789097.1	protein.alternativeName.fullName	Phospholipid methyltransferase		
UR000345849	KAF7789097.1	protein.alternativeName.shortName	PLMT		
UR000345849	KAF7789097.1	protein.recommendedName.ecNumber	2.1.1.71		
UR000345849	KAF7789097.1	protein.recommendedName.fullName	Phosphatidyl-N-methylethanolamine N-methyltransferase		
UR000345849	KAF7789097.1	xref.GO	GO:0000773		
UR000345849	KAF7789097.1	xref.GO	GO:0005789		
UR000345849	KAF7789097.1	xref.GO	GO:0006656		
UR000345849	KAF7789097.1	xref.GO	GO:0031966		
UR000345849	KAF7789097.1	xref.GO	GO:0080101		
UR000345849	KAF7789097.1	feature.TOPO_DOM	Lumenal	1	12
UR000345849	KAF7789097.1	feature.INTRAMEM	Helical	13	33
