"ProteinId"	"FullName"	"Similariry"	"EC"	"CAZy_HMMER"	"CAZy_Hotpep"	"CAZy_DIAMOND"	"Signalp"
"KAF7789068.1"	"Beta-xylanase"	"Belongs to the glycosyl hydrolase 10 (cellulase F) family"	"3.2.1.8"	"GH10(86-414)"	"GH10+CBM1+CBM2"	"CBM1+GH10"	"N"
"KAF7789077.1"	NA	NA	NA	"AA9(8-229)"	"AA9+CBM1"	"AA9+CBM1"	"Y(1-20)"
"KAF7789080.1"	"RuvB-like helicase"	"Belongs to the RuvB family"	"3.6.4.12"	NA	NA	NA	NA
"KAF7789083.1"	NA	NA	NA	"GH92(203-558)"	"N"	"GH92"	"N"
"KAF7789092.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7789093.1"	NA	"Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family"	"2.1.1.-"	NA	NA	NA	NA
"KAF7789094.1"	"Nicotinate phosphoribosyltransferase"	"Belongs to the NAPRTase family"	"6.3.4.21"	NA	NA	NA	NA
"KAF7789096.1"	NA	"Belongs to the ubiquitin-conjugating enzyme family"	"2.3.2.-"	NA	NA	NA	NA
"KAF7789097.1"	"Phosphatidyl-N-methylethanolamine N-methyltransferase"	"Belongs to the class VI-like SAM-binding methyltransferase superfamily. PEMT/PEM2 methyltransferase family"	"2.1.1.71"	NA	NA	NA	NA
"KAF7789106.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7789111.1"	NA	"Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family"	"2.1.1.-"	NA	NA	NA	NA
"KAF7789123.1"	"Vacuolar protein-sorting-associated protein 36"	"Belongs to the VPS36 family"	NA	NA	NA	NA	NA
"KAF7789127.1"	NA	NA	NA	"N"	"GH78"	"N"	"N"
"KAF7789129.1"	"Prefoldin subunit 3"	"Belongs to the prefoldin subunit alpha family"	NA	NA	NA	NA	NA
"KAF7789136.1"	NA	"Belongs to the globin family"	NA	NA	NA	NA	NA
"KAF7789137.1"	"DNA-directed RNA polymerase"	"Belongs to the phage and mitochondrial RNA polymerase family"	"2.7.7.6"	NA	NA	NA	NA
"KAF7789140.1"	"Tafazzin family protein"	"Belongs to the taffazin family"	NA	NA	NA	NA	NA
"KAF7789141.1"	NA	"Belongs to the argonaute family"	NA	NA	NA	NA	NA
"KAF7789154.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789160.1"	NA	NA	NA	"AA9(2-125)"	"N"	"N"	"N"
"KAF7789170.1"	"2-(3-amino-3-carboxypropyl)histidine synthase subunit 2"	"Belongs to the DPH1/DPH2 family. DPH2 subfamily"	"2.5.1.108"	NA	NA	NA	NA
"KAF7789199.1"	"1,3-beta-glucanosyltransferase"	"Belongs to the glycosyl hydrolase 72 family"	"2.4.1.-"	"GH72(22-342)"	"GH72+CBM43"	"CBM43+GH72"	"Y(1-24)"
"KAF7789200.1"	NA	NA	NA	"CE4(208-321)"	"CE4"	"CE4"	"Y(1-46)"
"KAF7789201.1"	NA	"Belongs to the nucleosome assembly protein (NAP) family"	NA	NA	NA	NA	NA
"KAF7789205.1"	NA	"Belongs to the MCM family"	NA	NA	NA	NA	NA
"KAF7789207.1"	"Mediator of RNA polymerase II transcription subunit 6"	"Belongs to the Mediator complex subunit 6 family"	NA	NA	NA	NA	NA
"KAF7789215.1"	NA	"Belongs to the protein kinase superfamily"	NA	NA	NA	NA	NA
"KAF7789220.1"	"V-type proton ATPase subunit F"	"Belongs to the V-ATPase F subunit family"	NA	NA	NA	NA	NA
